category,prefab,display
Uniques,OSRS_GracefulCape,Windrunner cape
Uniques,OSRS_DragonAxe,Rootcleaver
Uniques,OSRS_DraugrVisage,Bog visage
Uniques,OSRS_DragonfireShield,Drakeskull shield
Uniques,OSRS_BandosGodsword,Yagluth's warblade
Uniques,OSRS_AbyssalWhip,Queen's lash
Uniques,OSRS_InfernalCape,Cinder cape
Uniques,OSRS_ScytheOfVitur,Frost King's scythe
Elite uniques,OSRS_HillGiantClub,Troll's knucklebone
Elite uniques,OSRS_RuneScimitar,Barrow blade
Elite uniques,OSRS_GraniteMaul,Golemheart hammer
Elite uniques,OSRS_DragonHalberd,Warlord's glaive
Elite uniques,OSRS_CrystalBow,Gjall-gut bow
Elite uniques,OSRS_AbyssalBludgeon,Morgen's cudgel
Elite uniques,OSRS_DragonBattleaxe,Giantsbane axe
Crystal chest,OSRS_LoopHalfKey,Loop half of a crystal key
Crystal chest,OSRS_ToothHalfKey,Tooth half of a crystal key
Crystal chest,OSRS_CrystalKey,Crystal key
Riddle-stones,OSRS_RiddleStoneT1,Scratched riddle-stone
Riddle-stones,OSRS_RiddleStoneT2,Whispering riddle-stone
Riddle-stones,OSRS_RiddleStoneT3,Bound riddle-stone
Riddle-stones,OSRS_RiddleStoneT4,Allfather's riddle-stone
Riddle rewards,OSRS_CloakWayfarer,Wayfarer's mantle
Riddle rewards,OSRS_CloakGravebinder,Gravebinder's shroud
Riddle rewards,OSRS_CloakMistweave,Mistweave cloak
Riddle rewards,OSRS_CloakRimewalker,Rimewalker cloak
Riddle rewards,OSRS_CrownFeastday,Feast-day crown
Riddle rewards,OSRS_CrownNine,Crown of the Nine
Pets,OSRS_PetEikthyr,Sparkfawn
Pets,OSRS_PetElder,Elder sapling
Pets,OSRS_PetBonemass,Bog lump
Pets,OSRS_PetModer,Spiteful hatchling
Pets,OSRS_PetYagluth,Sulking ember
Pets,OSRS_PetQueen,Mist broodling
Pets,OSRS_JalNibRek,Ember nibbler
Pets,OSRS_PetFrozenKing,Tiny frost king
Pets,OSRS_PetMining,Grit
Pets,OSRS_PetWoodcutting,Splinter
Curios,OSRS_Geode,Cracked geode
Curios,OSRS_Burl,Knotted burl
Capes,OSRS_CapeMining,Mining cape
Capes,OSRS_CapeWoodcutting,Lumberjacking cape
Capes,OSRS_CapeCooking,Cooking cape
Capes,OSRS_CapeFarming,Farming cape
Capes,OSRS_CapeSmithing,Blacksmithing cape
Capes,OSRS_CapeConstruction,Building cape
Capes,OSRS_CapeSailing,Sailing cape
Capes,OSRS_CapeHunter,Ranching cape
Capes,OSRS_CapeHerblore,Alchemy cape
Capes,OSRS_CapeAgility,Evasion cape
Capes,OSRS_CapeFishing,Fishing cape
Capes,OSRS_CapeDefence,Blocking cape
Capes,OSRS_CapeRanged,Bows cape
Capes,OSRS_CapeCrossbow,Crossbows cape
Capes,OSRS_CapeMagic,Elemental magic cape
Capes,OSRS_CapeBloodMagic,Blood magic cape
Capes,OSRS_CapeStrength,Unarmed cape
Capes,OSRS_CapeSwords,Swords cape
Capes,OSRS_CapeKnives,Knives cape
Capes,OSRS_CapeClubs,Clubs cape
Capes,OSRS_CapePolearms,Polearms cape
Capes,OSRS_CapeSpears,Spears cape
Capes,OSRS_CapeAxes,Axes cape
Capes,OSRS_CapeMax,Allfather's cape
Gems and metals,Amber,Amber
Gems and metals,AmberPearl,Amber pearl
Gems and metals,Ruby,Ruby
Gems and metals,Crystal,Crystal
Gems and metals,Chain,Chain
Gems and metals,SilverNecklace,Silver necklace
Mage shards,ShardElder_TW,Elder shard
Mage shards,ShardBonemass_TW,Bonemass shard
Mage shards,ShardModer_TW,Moder shard
Mage shards,ShardYagluth_TW,Yagluth shard
Mage shards,ShardQueen_TW,Queen shard
Trophies: Meadows,TrophyBoar,Boar trophy
Trophies: Meadows,TrophyDeer,Deer trophy
Trophies: Meadows,TrophyDeerWhite,White deer trophy
Trophies: Meadows,TrophyNeck,Neck trophy
Trophies: Black Forest,TrophyGreydwarf,Greydwarf trophy
Trophies: Black Forest,TrophyGreydwarfBrute,Greydwarf brute trophy
Trophies: Black Forest,TrophyGreydwarfShaman,Greydwarf shaman trophy
Trophies: Black Forest,TrophySkeleton,Skeleton trophy
Trophies: Black Forest,TrophySkeletonPoison,Rancid remains trophy
Trophies: Black Forest,TrophyGhost,Ghost trophy
Trophies: Black Forest,TrophyFrostTroll,Troll trophy
Trophies: Black Forest,TrophyBjorn,Bjorn trophy
Trophies: Swamp and Ocean,TrophyDraugr,Draugr trophy
Trophies: Swamp and Ocean,TrophyDraugrElite,Draugr elite trophy
Trophies: Swamp and Ocean,TrophyBlob,Blob trophy
Trophies: Swamp and Ocean,TrophyLeech,Leech trophy
Trophies: Swamp and Ocean,TrophySurtling,Surtling trophy
Trophies: Swamp and Ocean,TrophyWraith,Wraith trophy
Trophies: Swamp and Ocean,TrophyAbomination,Abomination trophy
Trophies: Swamp and Ocean,TrophySerpent,Serpent trophy
Trophies: Mountain,TrophyWolf,Wolf trophy
Trophies: Mountain,TrophyUlv,Ulv trophy
Trophies: Mountain,TrophyHatchling,Drake trophy
Trophies: Mountain,TrophyFenring,Fenring trophy
Trophies: Mountain,TrophyCultist,Cultist trophy
Trophies: Mountain,TrophySGolem,Stone golem trophy
Trophies: Plains,TrophyGoblin,Fuling trophy
Trophies: Plains,TrophyGoblinBrute,Fuling berserker trophy
Trophies: Plains,TrophyGoblinShaman,Fuling shaman trophy
Trophies: Plains,TrophyDeathsquito,Deathsquito trophy
Trophies: Plains,TrophyLox,Lox trophy
Trophies: Plains,TrophyGrowth,Growth trophy
Trophies: Plains,TrophyBjornUndead,Unbjorn trophy
Trophies: Mistlands,TrophySeeker,Seeker trophy
Trophies: Mistlands,TrophySeekerBrute,Seeker soldier trophy
Trophies: Mistlands,TrophyGjall,Gjall trophy
Trophies: Mistlands,TrophyTick,Tick trophy
Trophies: Mistlands,TrophyDvergr,Dvergr trophy
Trophies: Ashlands,TrophyCharredMelee,Charred warrior trophy
Trophies: Ashlands,TrophyCharredArcher,Charred archer trophy
Trophies: Ashlands,TrophyCharredMage,Charred mage trophy
Trophies: Ashlands,TrophyMorgen,Morgen trophy
Trophies: Ashlands,TrophyFallenValkyrie,Fallen valkyrie trophy
Trophies: Ashlands,TrophyVolture,Volture trophy
Trophies: Ashlands,TrophyAsksvin,Asksvin trophy
Trophies: Ashlands,TrophyBonemawSerpent,Bonemaw serpent trophy
Trophies: Ashlands,TrophyBlob_Lava,Lava blob trophy
Trophies: Deep North,TrophyMoose,Moose trophy
Trophies: Deep North,TrophySeal,Seal trophy
Trophies: Deep North,TrophyHare,Hare trophy
Trophies: Deep North,TrophyMole,Mole trophy
Trophies: Deep North,TrophyElaking,Elaking trophy
Trophies: Deep North,TrophyJotunWarrior,Jotun warrior trophy
Trophies: Deep North,TrophyJotunWitch,Jotun witch trophy
Trophies: Deep North,TrophyWrithan,Writhan trophy
Trophies: Deep North,TrophyBarka,Barka trophy
Trophies: Deep North,TrophyBlob_Frost,Frost blob trophy
Trophies: Deep North,TrophyBlob_Morkhalla,Mork blob trophy
Trophies: Bosses,TrophyEikthyr,Eikthyr trophy
Trophies: Bosses,TrophyTheElder,Elder trophy
Trophies: Bosses,TrophyBonemass,Bonemass trophy
Trophies: Bosses,TrophyDragonQueen,Moder trophy
Trophies: Bosses,TrophyGoblinKing,Yagluth trophy
Trophies: Bosses,TrophySeekerQueen,Queen trophy
Trophies: Bosses,TrophyFader,Fader trophy
Trophies: Hildir,TrophySkeletonHildir,Brenna trophy
Trophies: Hildir,TrophyCultist_Hildir,Geirrhafa trophy
Trophies: Hildir,TrophyGoblinBruteBrosBrute,Zil trophy
Trophies: Hildir,TrophyGoblinBruteBrosShaman,Thungr trophy
Shipwright keels,OSRS_KeelEikthyr,Antler-carved keel
Shipwright keels,OSRS_KeelElder,Heartwood keel
Shipwright keels,OSRS_KeelBonemass,Bone-ribbed keel
Shipwright keels,OSRS_KeelModer,Drake-tear keel
Shipwright keels,OSRS_KeelYagluth,Fuling war-keel
Shipwright keels,OSRS_KeelQueen,Dvergr shipwright's keel
Oath capes,OSRS_OathCapeMeadows,Meadowsworn cape
Oath capes,OSRS_OathCapeBlackForest,Forestsworn cape
Oath capes,OSRS_OathCapeSwamp,Mirebound cape
Jewellery,OSRS_TorcAmber,Amber torc
Jewellery,OSRS_RingEmber,Ember band
Jewellery,OSRS_TorcWarden,Warden's torc
Jewellery,OSRS_RingEitrweave,Eitrweave band
Jewellery,OSRS_RingDelver,Delver's band
Jewellery,OSRS_TorcNightstep,Nightstep torc
Oath capes,OSRS_OathCapeMountain,Peaksworn cape
Oath capes,OSRS_OathCapePlains,Heathsworn cape
Oath capes,OSRS_OathCapeMistlands,Mistsworn cape
Oath capes,OSRS_OathCapeAshlands,Embersworn cape
Oath capes,OSRS_OathCapeDeepNorth,Frostsworn cape
Saga ranks,OSRS_SagaHood,Saga-friend's hood
Saga ranks,OSRS_SagaMantle,Skald's mantle
Saga ranks,OSRS_SagaCrown,Saga-keeper's crown
Saga ranks,OSRS_SagaLastVerse,Hood of the last verse
