biome,creature,class,list,display
Meadows,Greyling,world,,Greyling
Meadows,Neck,world,GemTableTier1,Neck
Meadows,Boar,world,,Boar
Meadows,Deer,world,,Deer
Meadows,Skeleton_Meadows,world,GemTableTier1,Skeleton (Meadows)
Meadows,Skeleton_Meadows_noarcher,world,GemTableTier1,Skeleton (Meadows)
Black Forest,Greydwarf,camped,GemTableTier1,Greydwarf
Black Forest,Greydwarf_Shaman,roamer,GemTableTier1,Greydwarf shaman
Black Forest,Greydwarf_Elite,nest,GemTableTier1,Greydwarf brute
Black Forest,Skeleton,camped,GemTableTier1,Skeleton
Black Forest,Skeleton_NoArcher,camped,GemTableTier1,Skeleton
Black Forest,Skeleton_Poison,world,GemTableTier1,Rancid remains
Black Forest,Ghost,world,,Ghost
Black Forest,Ghost_sleeping,world,,Ghost
Black Forest,Troll,elite,GemTableTier1,Troll
Black Forest,Troll_sleeping,elite,GemTableTier1,Troll
Black Forest,GreydwarfMage_TW,roamer,GemTableTier1,Greydwarf mage
Swamp,Draugr,camped,GemTableTier2,Draugr
Swamp,Draugr_sleeping,camped,GemTableTier2,Draugr
Swamp,Draugr_Ranged,camped,GemTableTier2,Draugr archer
Swamp,Draugr_Ranged_sleeping,camped,GemTableTier2,Draugr archer
Swamp,Draugr_Elite,nest,RareTableTier2,Draugr elite
Swamp,Draugr_Elite_sleeping,nest,RareTableTier2,Draugr elite
Swamp,Skeleton_Swamps,camped,GemTableTier2,Skeleton (Swamp)
Swamp,Skeleton_Swamps_noarcher,camped,GemTableTier2,Skeleton (Swamp)
Swamp,Blob,world,GemTableTier2,Blob
Swamp,Leech,world,,Leech
Swamp,Leech_cave,world,,Leech
Swamp,Wraith,elite,GemTableTier2,Wraith
Swamp,Surtling,world,,Surtling
Swamp,BlobElite,roamer,GemTableTier2,Oozer
Swamp,Abomination,elite,RareTableTier2,Abomination
Swamp,Bat_Swamp,world,,Bat (Swamp)
Swamp,SkeletonMage_TW,roamer,GemTableTier2,Skeleton mage
Ocean,Serpent,elite,GemTableTier2,Serpent
Mountain,Wolf,roamer,GemTableTier2,Wolf
Mountain,Ulv,roamer,GemTableTier2,Ulv
Mountain,Hatchling,world,,Drake
Mountain,Bat,world,,Bat
Mountain,Fenring,roamer,GemTableTier2,Fenring
Mountain,Fenring_Cultist,roamer,GemTableTier2,Cultist
Mountain,Skeleton_Mountains,world,GemTableTier2,Skeleton (Mountain)
Mountain,Skeleton_Mountains_noarcher,world,GemTableTier2,Skeleton (Mountain)
Mountain,StoneGolem,elite,RareTableTier2,Stone golem
Mountain,FenringMage_TW,roamer,GemTableTier2,Fenring mage
Plains,Goblin,roamer,GemTableTier3,Fuling
Plains,GoblinArcher,roamer,GemTableTier3,Fuling archer
Plains,GoblinShaman,roamer,GemTableTier3,Fuling shaman
Plains,GoblinBrute,elite,RareTableTier3,Fuling berserker
Plains,Deathsquito,world,,Deathsquito
Plains,Lox,roamer,GemTableTier3,Lox
