owner,item,min,max,chance,flags,id
Greyling,Wood,1,2,40,,
Neck,Coins,1,8,25,,
Boar,Coins,1,5,20,,
Deer,Coins,1,6,20,,
Skeleton_Meadows,Coins,2,10,25,,
Skeleton_Meadows_noarcher,Coins,2,10,25,,
Greydwarf,Coins,1,12,9.3,,
Greydwarf_Shaman,Coins,5,35,5,,
Greydwarf_Elite,Coins,6,29,5.7,,
Skeleton,Coins,2,10,7.8,,
Skeleton_NoArcher,Coins,2,10,7.8,,
Skeleton_Poison,Coins,4,15,30,,
Ghost,Coins,3,12,30,,
Ghost_sleeping,Coins,3,12,30,,
Troll,Coins,10,40,60,,
Troll_sleeping,Coins,10,40,60,,
Troll,OSRS_HillGiantClub,1,1,1/256,unique=OSRSheim_HillGiantClub,102
Troll_sleeping,OSRS_HillGiantClub,1,1,1/256,unique=OSRSheim_HillGiantClub,102
GreydwarfMage_TW,Coins,5,35,30,,
Draugr,Coins,5,20,10.9,,
Draugr,WitheredBone,1,1,12,,
Draugr_sleeping,Coins,5,20,10.9,,
Draugr_sleeping,WitheredBone,1,1,12,,
Draugr_Ranged,Coins,5,20,10.9,,
Draugr_Ranged,WitheredBone,1,1,12,,
Draugr_Ranged_sleeping,Coins,5,20,10.9,,
Draugr_Ranged_sleeping,WitheredBone,1,1,12,,
Draugr_Elite,Coins,14,52,8.5,,
Draugr_Elite,WitheredBone,1,2,25,,
Draugr_Elite_sleeping,Coins,14,52,8.5,,
Draugr_Elite_sleeping,WitheredBone,1,2,25,,
Draugr_Elite,OSRS_RuneScimitar,1,1,1/256,unique=OSRSheim_RuneScimitar,102
Draugr_Elite_sleeping,OSRS_RuneScimitar,1,1,1/256,unique=OSRSheim_RuneScimitar,102
Skeleton_Swamps,Coins,4,15,9.3,,
Skeleton_Swamps_noarcher,Coins,4,15,9.3,,
Blob,Coins,3,12,30,,
Blob,WitheredBone,1,1,8,,
Leech,Coins,2,10,25,,
Leech_cave,Coins,2,10,25,,
Wraith,Coins,36,114,35,,
Surtling,Coins,3,15,30,,
BlobElite,Coins,18,73,40,,
Abomination,Coins,20,67,60,,
Bat_Swamp,Coins,1,5,15,,
SkeletonMage_TW,Coins,9,37,35,,
Serpent,Coins,20,60,50,,
Wolf,Coins,12,42,30,,
Ulv,Coins,12,42,30,,
Hatchling,Coins,5,18,30,,
Bat,Coins,1,5,15,,
Fenring,Coins,23,69,40,,
Fenring_Cultist,Coins,28,81,40,,
Skeleton_Mountains,Coins,5,18,30,,
Skeleton_Mountains_noarcher,Coins,5,18,30,,
StoneGolem,Coins,31,94,50,,
StoneGolem,OSRS_GraniteMaul,1,1,1/256,unique=OSRSheim_GraniteMaul,102
FenringMage_TW,Coins,28,81,40,,
Goblin,Coins,27,80,30,,
GoblinArcher,Coins,27,80,30,,
GoblinShaman,Coins,43,106,35,,
GoblinBrute,Coins,46,123,50,,
GoblinBrute,OSRS_DragonHalberd,1,1,1/256,unique=OSRSheim_DragonHalberd,102
Deathsquito,Coins,2,10,20,,
Lox,Coins,10,30,40,,
BlobTar,Coins,5,15,30,,
GoblinMage_TW,Coins,43,106,35,,
Seeker,Coins,30,90,35,,
SeekerBrute,Coins,62,154,50,,
Gjall,Coins,53,127,60,,
Gjall,OSRS_CrystalBow,1,1,1/256,unique=OSRSheim_CrystalBow,102
Tick,Coins,3,12,25,,
Dverger,Coins,15,40,40,,
DvergerMage,Coins,15,40,40,,
DvergerMageFire,Coins,15,40,40,,
DvergerMageIce,Coins,15,40,40,,
DvergerMageSupport,Coins,15,40,40,,
CorruptedDvergerMage_TW,Coins,45,120,40,,
Charred_Melee,Coins,20,45,12.5,,
Charred_Archer,Coins,20,45,12.5,,
Charred_Mage,Coins,25,55,12.5,,
Charred_Twitcher,Coins,8,20,7.8,,
Charred_Melee_Dyrnwyn,Coins,66,157,70,,
Asksvin,Coins,61,162,35,,
Volture,Coins,10,25,30,,
BlobLava,Coins,10,30,30,,
Morgen,Coins,71,189,60,,
Morgen_NonSleeping,Coins,71,189,60,,
Morgen,OSRS_AbyssalBludgeon,1,1,1/256,unique=OSRSheim_AbyssalBludgeon,102
Morgen_NonSleeping,OSRS_AbyssalBludgeon,1,1,1/256,unique=OSRSheim_AbyssalBludgeon,102
FallenValkyrie,Coins,74,186,60,,
BonemawSerpent,Coins,74,186,60,,
DvergerAshlands,Coins,20,50,40,,
Frysling,Coins,10,30,30,,
Greydwarf_Frozen,Coins,61,163,35,,
Greydwarf_Shaman_Frozen,Coins,61,163,35,,
BlobFrost,Coins,10,30,30,,
BlobMork,Coins,15,40,10.9,,
Moose,Coins,15,40,30,,
Seal,Coins,10,25,25,,
Elaking,Coins,20,50,12.5,,
ElakingLantern,Coins,20,50,12.5,,
ElakingMole,Coins,81,203,40,,
GoblinDeepNorth,Coins,81,203,40,,
Skeleton_DeepNorth,Coins,15,40,35,,
DvergerDeepNorth,Coins,25,60,40,,
Ghost_Void,Coins,20,50,40,,
Bjorn,Coins,10,40,60,,
Bjorn_sleeping,Coins,10,40,60,,
Unbjorn,Coins,46,123,50,,
JotunWarrior,Coins,94,226,20,,
JotunWarriorDualWield,Coins,94,226,20,,
JotunWarrior,OSRS_DragonBattleaxe,1,1,1/256,unique=OSRSheim_DragonBattleaxe,102
JotunWarriorDualWield,OSRS_DragonBattleaxe,1,1,1/256,unique=OSRSheim_DragonBattleaxe,102
JotunWitch,Coins,94,226,20,,
Writhan,Coins,105,279,50,,
Barka,Coins,94,226,60,,
Skeleton_Hildir,Coins,50,80,100,,
Skeleton_Hildir_nochest,Coins,50,80,100,,
Fenring_Cultist_Hildir,Coins,50,80,100,,
Fenring_Cultist_Hildir_nochest,Coins,50,80,100,,
GoblinShaman_Hildir,Coins,50,80,100,,
GoblinShaman_Hildir_nochest,Coins,50,80,100,,
GoblinBrute_Hildir,Coins,50,80,100,,
GoblinBruteBros,Coins,50,80,100,,
GoblinBruteBros_nochest,Coins,50,80,100,,
Eikthyr,OSRS_GracefulCape,1,1,1/512,unique=OSRSheim_GracefulCape,102
Eikthyr,OSRS_PetEikthyr,1,1,0.02,one-per-player,103
Eikthyr,OSRS_KeelEikthyr,1,1,1/120,,104
gd_king,OSRS_DragonAxe,1,1,1/512,unique=OSRSheim_DragonAxe,102
gd_king,OSRS_PetElder,1,1,0.02,one-per-player,103
gd_king,OSRS_KeelElder,1,1,1/120,,104
Bonemass,OSRS_DraugrVisage,1,1,1/512,unique=OSRSheim_DraugrVisage,102
Bonemass,OSRS_PetBonemass,1,1,0.02,one-per-player,103
Bonemass,OSRS_KeelBonemass,1,1,1/120,,104
Dragon,OSRS_DragonfireShield,1,1,1/512,unique=OSRSheim_DragonfireShield,102
Dragon,OSRS_PetModer,1,1,0.02,one-per-player,103
Dragon,OSRS_KeelModer,1,1,1/120,,104
GoblinKing,OSRS_BandosGodsword,1,1,1/512,unique=OSRSheim_BandosGodsword,102
GoblinKing,OSRS_PetYagluth,1,1,0.02,one-per-player,103
GoblinKing,OSRS_KeelYagluth,1,1,1/120,,104
SeekerQueen,OSRS_AbyssalWhip,1,1,1/512,unique=OSRSheim_AbyssalWhip,102
SeekerQueen,OSRS_PetQueen,1,1,0.02,one-per-player,103
SeekerQueen,OSRS_KeelQueen,1,1,1/120,,104
Fader,OSRS_InfernalCape,1,1,1/512,unique=OSRSheim_InfernalCape,102
Fader,OSRS_JalNibRek,1,1,0.02,one-per-player,103
FrozenKing_p3,OSRS_ScytheOfVitur,1,1,1/512,unique=OSRSheim_ScytheOfVitur,102
FrozenKing_p3,OSRS_PetFrozenKing,1,1,0.02,one-per-player,103
GemTableTier1,Ruby,1,1,1/256,,
GemTableTier1,Amber,1,2,1/128,,
GemTableTier1,AmberPearl,1,1,1/512,,
GemTableTier1,OSRS_RiddleStoneT1,1,1,1/256,,
GemTableTier2,Amber,1,3,1/80,,
GemTableTier2,Ruby,1,1,1/160,,
GemTableTier2,AmberPearl,1,1,1/256,,
GemTableTier2,Chain,1,1,1/500,,
GemTableTier2,OSRS_LoopHalfKey,1,1,1/1024,,
GemTableTier2,OSRS_ToothHalfKey,1,1,1/1024,,
GemTableTier2,OSRS_RiddleStoneT1,1,1,1/256,,
GemTableTier3,Amber,2,4,1/64,,
GemTableTier3,Ruby,1,2,1/100,,
GemTableTier3,AmberPearl,1,2,1/160,,
GemTableTier3,Chain,1,1,1/320,,
GemTableTier3,SilverNecklace,1,1,1/640,,
GemTableTier3,OSRS_LoopHalfKey,1,1,1/1024,,
GemTableTier3,OSRS_ToothHalfKey,1,1,1/1024,,
GemTableTier3,OSRS_RiddleStoneT2,1,1,1/512,,
GemTableTier4,Ruby,1,3,1/80,,
GemTableTier4,AmberPearl,1,2,1/100,,
