group,object,item,min,max,target,note
woodcutting,Beech1,OSRS_PetWoodcutting,1,1,1/16000,
woodcutting,Beech1,OSRS_Burl,1,1,1/500,
woodcutting,Birch1,OSRS_PetWoodcutting,1,1,1/16000,
woodcutting,Birch1,OSRS_Burl,1,1,1/500,
woodcutting,Birch1_aut,OSRS_PetWoodcutting,1,1,1/16000,
woodcutting,Birch1_aut,OSRS_Burl,1,1,1/500,
woodcutting,Birch2,OSRS_PetWoodcutting,1,1,1/16000,
woodcutting,Birch2,OSRS_Burl,1,1,1/500,
woodcutting,Birch2_aut,OSRS_PetWoodcutting,1,1,1/16000,
woodcutting,Birch2_aut,OSRS_Burl,1,1,1/500,
woodcutting,Oak1,OSRS_PetWoodcutting,1,1,1/16000,
woodcutting,Oak1,OSRS_Burl,1,1,1/500,
woodcutting,FirTree,OSRS_PetWoodcutting,1,1,1/16000,
woodcutting,FirTree,OSRS_Burl,1,1,1/500,
woodcutting,FirTree_big,OSRS_PetWoodcutting,1,1,1/16000,
woodcutting,FirTree_big,OSRS_Burl,1,1,1/500,
woodcutting,SnowFirTree,OSRS_PetWoodcutting,1,1,1/16000,
woodcutting,SnowFirTree,OSRS_Burl,1,1,1/500,
woodcutting,SnowFirTree 2,OSRS_PetWoodcutting,1,1,1/16000,prefab name really does contain a space
woodcutting,SnowFirTree 2,OSRS_Burl,1,1,1/500,
woodcutting,Pinetree_01,OSRS_PetWoodcutting,1,1,1/16000,
woodcutting,Pinetree_01,OSRS_Burl,1,1,1/500,
woodcutting,Pinetree_Snow,OSRS_PetWoodcutting,1,1,1/16000,
woodcutting,Pinetree_Snow,OSRS_Burl,1,1,1/500,
woodcutting,Pinetree_Snow_dead,OSRS_PetWoodcutting,1,1,1/16000,
woodcutting,Pinetree_Snow_dead,OSRS_Burl,1,1,1/500,
woodcutting,YggaShoot1,OSRS_PetWoodcutting,1,1,1/16000,
woodcutting,YggaShoot1,OSRS_Burl,1,1,1/500,
woodcutting,YggaShoot2,OSRS_PetWoodcutting,1,1,1/16000,
woodcutting,YggaShoot2,OSRS_Burl,1,1,1/500,
woodcutting,YggaShoot3,OSRS_PetWoodcutting,1,1,1/16000,
woodcutting,YggaShoot3,OSRS_Burl,1,1,1/500,
woodcutting,AshlandsTree1,OSRS_PetWoodcutting,1,1,1/16000,
woodcutting,AshlandsTree1,OSRS_Burl,1,1,1/500,
woodcutting,AshlandsTree3,OSRS_PetWoodcutting,1,1,1/16000,
woodcutting,AshlandsTree3,OSRS_Burl,1,1,1/500,
woodcutting,AshlandsTree4,OSRS_PetWoodcutting,1,1,1/16000,
woodcutting,AshlandsTree4,OSRS_Burl,1,1,1/500,
woodcutting,AshlandsTree5,OSRS_PetWoodcutting,1,1,1/16000,
woodcutting,AshlandsTree5,OSRS_Burl,1,1,1/500,
woodcutting,AshlandsTree6,OSRS_PetWoodcutting,1,1,1/16000,
woodcutting,AshlandsTree6,OSRS_Burl,1,1,1/500,
woodcutting,AshlandsTree6_big,OSRS_PetWoodcutting,1,1,1/16000,
woodcutting,AshlandsTree6_big,OSRS_Burl,1,1,1/500,
woodcutting,SwampTree1_log,OSRS_PetWoodcutting,1,1,1/16000,SwampTree1 TreeBase is empty; the log carries Wood + ElderBark
woodcutting,SwampTree1_log,OSRS_Burl,1,1,1/500,
mining,MineRock_Copper,OSRS_PetMining,1,1,1/300000,
mining,MineRock_Copper,OSRS_Geode,1,1,1/500,
mining,MineRock_Copper,Amber,1,1,1/256,
mining,rock4_copper_frac,OSRS_PetMining,1,1,1/300000,
mining,rock4_copper_frac,OSRS_Geode,1,1,1/500,
mining,rock4_copper_frac,Amber,1,1,1/256,
mining,MineRock_Tin,OSRS_PetMining,1,1,1/85000,
mining,MineRock_Tin,OSRS_Geode,1,1,1/500,
mining,MineRock_Tin,Amber,1,1,1/256,
mining,mudpile_frac,OSRS_PetMining,1,1,1/300000,swamp scrap; vanilla already has WitheredBone at 0.01
mining,mudpile_frac,OSRS_Geode,1,1,1/500,
mining,mudpile2_frac,OSRS_PetMining,1,1,1/300000,second swamp scrap pile; DropChance 20%
mining,mudpile2_frac,OSRS_Geode,1,1,1/600,1/500 would take the full 1% share cap
mining,MineRock_Iron,OSRS_PetMining,1,1,1/300000,
mining,MineRock_Iron,OSRS_Geode,1,1,1/500,
mining,MineRock_Iron,AmberPearl,1,1,1/256,
mining,rock3_silver_frac,OSRS_PetMining,1,1,1/300000,
mining,rock3_silver_frac,OSRS_Geode,1,1,1/500,
mining,rock3_silver_frac,Ruby,1,1,1/256,
mining,silvervein_frac,OSRS_PetMining,1,1,1/300000,
mining,silvervein_frac,OSRS_Geode,1,1,1/500,
mining,silvervein_frac,Ruby,1,1,1/256,
mining,goldvein_frac,OSRS_PetMining,1,1,1/300000,
mining,goldvein_frac,OSRS_Geode,1,1,1/500,
mining,goldvein_frac,Ruby,1,1,1/256,
mining,MineRock_Obsidian,OSRS_PetMining,1,1,1/45000,
mining,MineRock_Obsidian,OSRS_Geode,1,1,1/500,
mining,MineRock_Obsidian,Ruby,1,1,1/256,
mining,MineRock_Meteorite,OSRS_PetMining,1,1,1/300000,
mining,MineRock_Meteorite,OSRS_Geode,1,1,1/500,
mining,MineRock_Meteorite,Ruby,1,1,1/256,
