# Generated by scripts\gen-mods.py from the Gale profile OSRSheim. Do not hand-edit.
# id	version	plugin  (plugin = the name in BepInEx's "Loading [name version]")
ASharpPen-Drop_That	3.1.5	Drop That!
ASharpPen-Spawn_That	1.2.19	Spawn That!
Azumatt-AzuExtendedPlayerInventory	2.5.1	AzuExtendedPlayerInventory
BetterUI_ForeverMaintained-BetterUI_ForeverMaintained	2.5.12	BetterUI
denikson-BepInExPack_Valheim	5.4.2350	BepInEx
JereKuusela-Server_devcommands	1.113.0	Server Devcommands
JereKuusela-Upgrade_World	1.83.0	Upgrade World
JereKuusela-World_Edit_Commands	1.77.0	World Edit Commands
JuJuz1-SkillGainModifier	0.1.1	SkillGainModifier
KG-Marketplace_And_Server_NPCs_Revamped	10.0.1-beta.1	MarketplaceAndServerNPCs
Marlthon-OdinShip	0.8.1	OdinShip
OdinPlus-PotionPlus	4.3.4	PotionsPlus
RandyKnapp-EpicLoot	0.14.11	Epic Loot
sighsorry-Trolling_Fishing	1.1.3	TrollingFishing
Smoothbrain-Blacksmithing	1.3.6	Blacksmithing
Smoothbrain-Building	1.2.7	Building
Smoothbrain-Cooking	1.2.3	Cooking
Smoothbrain-CreatureLevelAndLootControl	5.0.4	Creature Level & Loot Control
Smoothbrain-Evasion	1.0.5	Evasion
Smoothbrain-Exploration	1.0.5	Exploration
Smoothbrain-Farming	2.2.3	Farming
Smoothbrain-Foraging	1.0.11	Foraging
Smoothbrain-Lumberjacking	1.0.7	Lumberjacking
Smoothbrain-Mining	1.1.7	Mining
Smoothbrain-Ranching	1.1.9	Ranching
Smoothbrain-Sailing	1.1.9	Sailing
SpikeHimself-XPortal	1.2.25	XPortal
Therzie-Wizardry	1.2.0	Wizardry
ValheimModding-Jotunn	2.30.2	Jotunn
ValheimModding-JsonDotNET	13.0.4	Newtonsoft.Json Detector
ValheimModding-YamlDotNet	16.3.1	YamlDotNet Detector
WackyMole-WackyItemRequiresSkillLevel	1.4.7	ItemRequiresSkillLevel
WackyMole-WackysDatabase	2.5.34	WackysDatabase
warpalicious-More_World_Locations_AIO	5.1.1	More_World_Locations_AIO
