npc,node,x,y,z
Ulfar the Guide,town,103,36,-57
Huntmaster Hrafn,town,87,35,-57
Verdandi the Weaver,town,91,35,-72
Shopkeeper,town,109,35,-77
Gullveig,town,109,35,-72
Herbwife,town,109,36,-67
Banker,town,91,35,-77
Banker,meadows,388,51,-1492
Gambler,town,91,35,-67
Ragnar the Bold,town,86,35,-63
Gothi Eirik,town,114,36,-60
Seeress,town,113,35,-83
Gielheim Guide,town,97,36,-57
Halla the Skald,town,104,36,-70
Kaupang,town,100,36,-75
Sigrun the Oathkeeper,town,95,35,-84
Waystone,kaupang,100,35,-86
Waystone,meadows,392,53,-1484
Waystone,blackforest,1358,53,2041
Waystone,swamp,-1991,31,660
Waystone,mountain,925,229,-3253
Waystone,plains,2889,48,-1476
Waystone,mistlands,-1562,37,-5765
Waystone,ashlands,271,38,-8576
Waystone,deepnorth,-1649,40,8320
