creature,item,chance,min,max,source
Abomination,TrophyAbomination,0.5,1,1,kirilloid src/data/creatures.ts (build unstated)
Asksvin,TrophyAsksvin,0.1,1,1,kirilloid src/data/creatures.ts (build unstated)
Barka,TrophyBarka,0.1,1,1,kirilloid src/data/creatures.ts (build unstated)
Bjorn,TrophyBjorn,0.1,1,1,kirilloid src/data/creatures.ts (build unstated)
Blob,TrophyBlob,0.1,1,1,kirilloid src/data/creatures.ts (build unstated)
BlobElite,TrophyBlob,0.1,1,1,kirilloid src/data/creatures.ts (build unstated)
BlobFrost,TrophyBlob_Frost,0.1,1,1,kirilloid src/data/creatures.ts (build unstated)
BlobLava,TrophyBlob_Lava,0.1,1,1,kirilloid src/data/creatures.ts (build unstated)
BlobMork,TrophyBlob_Morkhalla,0.1,1,1,kirilloid src/data/creatures.ts (build unstated)
BlobTar,TrophyGrowth,0.1,1,1,kirilloid src/data/creatures.ts (build unstated)
Boar,TrophyBoar,0.15,1,1,kirilloid src/data/creatures.ts (build unstated)
Bonemass,TrophyBonemass,1.0,1,1,kirilloid src/data/creatures.ts (build unstated)
BonemawSerpent,TrophyBonemawSerpent,0.33,1,1,kirilloid src/data/creatures.ts (build unstated)
Charred_Archer,TrophyCharredArcher,0.05,1,1,kirilloid src/data/creatures.ts (build unstated)
Charred_Mage,TrophyCharredMage,0.05,1,1,kirilloid src/data/creatures.ts (build unstated)
Charred_Melee,TrophyCharredMelee,0.05,1,1,kirilloid src/data/creatures.ts (build unstated)
Deathsquito,TrophyDeathsquito,0.05,1,1,kirilloid src/data/creatures.ts (build unstated)
Deer,TrophyDeer,0.5,1,1,kirilloid src/data/creatures.ts (build unstated)
Dragon,TrophyDragonQueen,1.0,1,1,kirilloid src/data/creatures.ts (build unstated)
Draugr,TrophyDraugr,0.1,1,1,kirilloid src/data/creatures.ts (build unstated)
Draugr_Elite,TrophyDraugrElite,0.1,1,1,kirilloid src/data/creatures.ts (build unstated)
Dverger,Coins,1.0,2,15,kirilloid src/data/creatures.ts (build unstated)
Dverger,TrophyDvergr,0.05,1,1,kirilloid src/data/creatures.ts (build unstated)
DvergerDeepNorth,Coins,1.0,10,20,kirilloid src/data/creatures.ts (build unstated)
DvergerDeepNorth,TrophyDvergr,0.05,1,1,kirilloid src/data/creatures.ts (build unstated)
Eikthyr,TrophyEikthyr,1.0,1,1,kirilloid src/data/creatures.ts (build unstated)
Elaking,TrophyElaking,0.1,1,1,kirilloid src/data/creatures.ts (build unstated)
ElakingLantern,TrophyElaking,0.1,1,1,kirilloid src/data/creatures.ts (build unstated)
ElakingMole,TrophyMole,0.1,1,1,kirilloid src/data/creatures.ts (build unstated)
Fader,TrophyFader,1.0,1,1,kirilloid src/data/creatures.ts (build unstated)
FallenValkyrie,TrophyFallenValkyrie,0.05,1,1,kirilloid src/data/creatures.ts (build unstated)
Fenring,TrophyFenring,0.1,1,1,kirilloid src/data/creatures.ts (build unstated)
Fenring_Cultist,TrophyCultist,0.1,1,1,kirilloid src/data/creatures.ts (build unstated)
Fenring_Cultist_Hildir,TrophyCultist_Hildir,1.0,1,1,kirilloid src/data/creatures.ts (build unstated)
Fenring_Cultist_Hildir_nochest,TrophyCultist_Hildir,1.0,1,1,kirilloid src/data/creatures.ts (build unstated)
Ghost,TrophyGhost,0.1,1,1,kirilloid src/data/creatures.ts (build unstated)
Gjall,TrophyGjall,0.3,1,1,kirilloid src/data/creatures.ts (build unstated)
Goblin,Coins,0.25,5,10,kirilloid src/data/creatures.ts (build unstated)
Goblin,TrophyGoblin,0.1,1,1,kirilloid src/data/creatures.ts (build unstated)
GoblinBrute,Coins,1.0,5,20,kirilloid src/data/creatures.ts (build unstated)
GoblinBrute,GoblinTotem,0.1,1,1,kirilloid src/data/creatures.ts (build unstated)
GoblinBrute,TrophyGoblinBrute,0.05,1,1,kirilloid src/data/creatures.ts (build unstated)
GoblinBruteBros,TrophyGoblinBruteBrosBrute,1.0,1,1,kirilloid src/data/creatures.ts (build unstated)
GoblinBruteBros_nochest,TrophyGoblinBruteBrosBrute,1.0,1,1,kirilloid src/data/creatures.ts (build unstated)
GoblinDeepNorth,Coins,0.25,20,40,kirilloid src/data/creatures.ts (build unstated)
GoblinKing,TrophyGoblinKing,1.0,1,1,kirilloid src/data/creatures.ts (build unstated)
GoblinShaman,Coins,0.25,20,40,kirilloid src/data/creatures.ts (build unstated)
GoblinShaman,TrophyGoblinShaman,0.1,1,1,kirilloid src/data/creatures.ts (build unstated)
GoblinShaman_Hildir,TrophyGoblinBruteBrosShaman,1.0,1,1,kirilloid src/data/creatures.ts (build unstated)
GoblinShaman_Hildir_nochest,TrophyGoblinBruteBrosShaman,1.0,1,1,kirilloid src/data/creatures.ts (build unstated)
Greydwarf,TrophyGreydwarf,0.05,1,1,kirilloid src/data/creatures.ts (build unstated)
Greydwarf_Elite,AncientSeed,0.33,1,1,kirilloid src/data/creatures.ts (build unstated)
